network	network_description	activation_delay	compute	number_activations	strategy	strategy_description	version	protocol	machine_duration_s	activations	reward	head_time	head_progress	head_height	head_miner	preference	progress	max_uncles	incentive_scheme	head_work	k	head_kind	subblock_selection
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	60.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	nakamoto	0.325979192	167|402|525|739|923|1074|1249|1446|1627|1848	165.|397.|518.|726.|906.|1058.|1230.|1425.|1609.|1825.	597226.579455	9859.	9859	1								
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	120.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty		0.347642385	167|402|525|739|923|1074|1249|1446|1627|1848	166.875|401.90625|524.71875|738.40625|921.78125|1073.09375|1247.90625|1444.75|1626.28125|1847.21875	1194453.15891	10000.	9926		heaviest_chain	work	2	discount	10000			
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	30.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	nakamoto	0.422495604	167|402|525|739|923|1074|1249|1446|1627|1848	163.|390.|509.|722.|887.|1042.|1215.|1408.|1584.|1807.	298613.289727	9727.	9727	1								
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	300.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	nakamoto	0.536957103	167|402|525|739|923|1074|1249|1446|1627|1848	167.|402.|523.|735.|919.|1071.|1246.|1440.|1624.|1845.	2986132.89727	9972.	9972	1								
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	120.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	nakamoto	0.572453361	167|402|525|739|923|1074|1249|1446|1627|1848	166.|400.|522.|733.|912.|1065.|1239.|1434.|1618.|1837.	1194453.15891	9926.	9926	1								
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	600.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	nakamoto	0.582532944	167|402|525|739|923|1074|1249|1446|1627|1848	167.|402.|525.|737.|922.|1072.|1248.|1443.|1626.|1845.	5972265.79455	9987.	9987	1								
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	300.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty		0.590103507	167|402|525|739|923|1074|1249|1446|1627|1848	167.|402.03125|524.78125|738.59375|922.5|1073.6875|1248.6875|1445.34375|1626.8125|1847.9375	2986132.89727	10000.	9972		heaviest_chain	work	2	discount	10000			
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	60.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty		0.600865608	167|402|525|739|923|1074|1249|1446|1627|1848	166.78125|401.5625|524.28125|737.5625|921.3125|1071.625|1246.4375|1443.8125|1625.40625|1845.9375	597226.579455	9998.	9859		heaviest_chain	work	2	discount	9998			
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	600.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty		0.62641911	167|402|525|739|923|1074|1249|1446|1627|1848	167.|402.|525.03125|738.75|922.875|1073.78125|1248.90625|1445.71875|1626.9375|1847.78125	5972265.79455	10000.	9987		heaviest_chain	work	2	discount	10000			
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	30.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty		0.659606903	167|402|525|739|923|1074|1249|1446|1627|1848	166.65625|400.8125|523.34375|736.5|919.28125|1069.84375|1244.84375|1442.1875|1622.84375|1844.625	298613.289727	9997.	9727		heaviest_chain	work	2	discount	9997			
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	300.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bkll	0.226564551	191|337|509|701|898|1109|1315|1464|1607|1869	191.|335.|506.|698.|892.|1107.|1314.|1463.|1602.|1862.	2989807.17022	9970.	9970					block		1	block	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	30.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bkll	0.283189912	191|337|509|701|898|1109|1315|1464|1607|1869	187.|328.|489.|673.|864.|1084.|1280.|1436.|1552.|1825.	298980.717022	9718.	9718					block		1	block	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	60.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bk	0.817013114	165|354|548|769|894|1043|1274|1500|1630|1823	164.|349.|542.|760.|884.|1027.|1252.|1478.|1615.|1790.	599841.178938	9861.	9861					block		1	block	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	600.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bkll	0.229697681	191|337|509|701|898|1109|1315|1464|1607|1869	191.|336.|507.|700.|895.|1108.|1315.|1464.|1602.|1868.	5979614.34044	9986.	9986					block		1	block	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	120.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bkll	0.252144983	191|337|509|701|898|1109|1315|1464|1607|1869	190.|334.|502.|694.|887.|1100.|1305.|1457.|1594.|1857.	1195922.86809	9920.	9920					block		1	block	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	60.	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	10000	none		local-v0.4-81-ga82eadf-dirty	bkll	0.282116291	191|337|509|701|898|1109|1315|1464|1607|1869	190.|333.|500.|688.|874.|1092.|1299.|1446.|1583.|1845.	597961.434044	9850.	9850					block		1	block	
