	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	ca_time	ca_height	machine_duration_s	error	version	compute_weakest	compute_strongest	compute_gini	activations_weakest	activations_strongest	activations_gini	reward_weakest	reward_strongest	reward_gini	efficiency_weakest	efficiency_strongest	efficiency_gini	activations_compute_gini_delta	reward_activations_gini_delta
0	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	300.0	300.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		160.|374.|565.|745.|904.|1116.|1188.|1487.|1604.|1832.	2969412.07991	9975	0.07689339		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.016040100250626566	0.1836591478696742	0.29883709273182957	0.9962795186724576	1.0003221561529094	0.0006804124590660366	-0.0013000000000001344	0.00013709273182960224
1	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	30.0	30.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		151.|364.|547.|721.|879.|1093.|1158.|1456.|1570.|1787.	296941.207991	9726	0.088342323		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015525395846185482	0.18373432037836726	0.30059633970799915	0.9643103010053095	1.000731592474767	0.005290000999539915	-0.0013000000000001344	0.001896339707999184
2	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	600.0	600.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		161.|375.|565.|747.|904.|1117.|1188.|1488.|1607.|1832.	5938824.15981	9984	0.091426106		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.016125801282051284	0.18349358974358973	0.29861778846153847	1.0016025641025643	0.9994204234400311	0.0005076884751007421	-0.0013000000000001344	-8.221153846149631e-05
3	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	120.0	120.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		158.|371.|563.|743.|900.|1111.|1183.|1479.|1595.|1822.	1187764.83196	9925	0.098247156		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.01591939546599496	0.18357682619647356	0.29879093198992446	0.9887823270804323	0.9998737810265443	0.00170477346351898	-0.0013000000000001344	9.093198992449203e-05
4	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	60.0	60.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		155.|368.|554.|738.|891.|1108.|1178.|1473.|1585.|1811.	593882.415981	9861	0.100521082		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015718486968867254	0.18365277355237805	0.29971605313862687	0.9763035384389599	1.0002874376491178	0.0038963657686904504	-0.0013000000000001344	0.0010160531386269045
5	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	30.0	30.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	constant	1 per confirmed pow solution	none		151.|364.|547.|721.|879.|1093.|1158.|1456.|1570.|1787.	296941.207991	9726	0.136340349		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015525395846185482	0.18373432037836726	0.30059633970799915	0.9643103010053095	1.000731592474767	0.005290000999539915	-0.0013000000000001344	0.001896339707999184
6	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	30.0	30.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		151.|364.|547.|721.|879.|1093.|1158.|1456.|1570.|1787.	296941.207991	9726	0.140161612		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015525395846185482	0.18373432037836726	0.30059633970799915	0.9643103010053095	1.000731592474767	0.005290000999539915	-0.0013000000000001344	0.001896339707999184
7	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	60.0	60.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	constant	1 per confirmed pow solution	none		155.|368.|554.|738.|891.|1108.|1178.|1473.|1585.|1811.	593882.415981	9861	0.139187739		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015718486968867254	0.18365277355237805	0.29971605313862687	0.9763035384389599	1.0002874376491178	0.0038963657686904504	-0.0013000000000001344	0.0010160531386269045
8	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	60.0	60.0	10000	161|375|566|748|907|1118|1190|1490|1609|1836	block	1 per confirmed block	none		155.|368.|554.|738.|891.|1108.|1178.|1473.|1585.|1811.	593882.415981	9861	0.142962085		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0161	0.1836	0.29869999999999997	0.015718486968867254	0.18365277355237805	0.29971605313862687	0.9763035384389599	1.0002874376491178	0.0038963657686904504	-0.0013000000000001344	0.0010160531386269045
9	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	120.0	120.0	10000	194|382|528|763|908|1098|1288|1423|1607|1809	constant	1 per confirmed pow solution	none		189.|379.|526.|759.|900.|1093.|1280.|1410.|1596.|1793.	1194221.94329	9925	0.102236463		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0194	0.1809	0.2935	0.019042821158690177	0.18065491183879093	0.29351133501259447	0.9815887195201122	0.998645173238203	0.002590135685084492	-0.006500000000000117	1.1335012594482219e-05
10	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ/ll with k=1	120.0	120.0	10000	194|382|528|763|908|1098|1288|1423|1607|1809	block	1 per confirmed block	none		189.|379.|526.|759.|900.|1093.|1280.|1410.|1596.|1793.	1194221.94329	9925	0.105420765		local-v0.1-13-g8566be5	0.01818181818181818	0.18181818181818182	0.3000000000000001	0.0194	0.1809	0.2935	0.019042821158690177	0.18065491183879093	0.29351133501259447	0.9815887195201122	0.998645173238203	0.002590135685084492	-0.006500000000000117	1.1335012594482219e-05
