network	network_description	activation_delay	compute	number_activations	strategy	strategy_description	version	protocol	machine_duration_s	activations	reward	head_time	head_progress	head_height	head_miner	preference	progress	max_uncles	incentive_scheme	head_work	k	head_kind	subblock_selection
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.082105253	2565|7435	1639.|6503.	9933.16681943	8142.	8142	1								
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.092723748	1024|8976	1024.|8976.	9933.16681943	10000.	10000	1								
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.092576282	1024|8976	310.|8821.	9933.16681943	9131.	9131	1								
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.093659741	2565|7435	1594.|6638.	9933.16681943	8232.	8232	1								
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.095919503	1024|8976	317.|8810.	9933.16681943	9127.	9127	1								
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.0960624	2037|7963	1058.|7434.	9933.16681943	8492.	8492	1								
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.09624948	2037|7963	1085.|7377.	9933.16681943	8462.	8462	1								
two-agents	2 nodes, alpha=0.1, no propagation delays	1.	0.1|0.9	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.104517704	1024|8976	317.|8810.	9933.16681943	9127.	9127	1								
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.104902595	2037|7963	1085.|7377.	9933.16681943	8462.	8462	1								
two-agents	2 nodes, alpha=0.2, no propagation delays	1.	0.2|0.8	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.105621171	2037|7963	2037.|7963.	9933.16681943	10000.	10000	1								
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.125044072	2565|7435	2565.|7435.	9933.16681943	10000.	10000	1								
two-agents	2 nodes, alpha=0.25, no propagation delays	1.	0.25|0.75	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.127710506	2565|7435	1639.|6503.	9933.16681943	8142.	8142	1								
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.057732722	3336|6664	2607.|5022.	9978.81138701	7629.	7629	0								
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.079271286	3336|6664	3336.|6664.	9978.81138701	10000.	10000	0								
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.081901121	3336|6664	2607.|5022.	9978.81138701	7629.	7629	0								
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.079431326	4004|5996	3255.|4370.	9978.81138701	7625.	7625	0								
two-agents	2 nodes, alpha=0.33, no propagation delays	1.	0.33|0.67	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.090410096	3336|6664	2485.|5423.	9978.81138701	7908.	7908	0								
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.084401233	4004|5996	4004.|5996.	9978.81138701	10000.	10000	0								
two-agents	2 nodes, alpha=0.45, no propagation delays	1.	0.45|0.55	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.06776006	4512|5488	3861.|3559.	9978.81138701	7420.	7420	0								
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.102692296	4004|5996	3450.|3584.	9978.81138701	7034.	7034	0								
two-agents	2 nodes, alpha=0.4, no propagation delays	1.	0.4|0.6	10000	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.108056781	4004|5996	3450.|3584.	9978.81138701	7034.	7034	0								
two-agents	2 nodes, alpha=0.45, no propagation delays	1.	0.45|0.55	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.101338791	4512|5488	4512.|5488.	9978.81138701	10000.	10000	0								
two-agents	2 nodes, alpha=0.5, no propagation delays	1.	0.5|0.5	10000	ssz-honest	SSZ'16 attack space; emulate honest behaviour	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.076140344	4971|5029	4971.|5029.	9965.74281355	10000.	10000	0								
two-agents	2 nodes, alpha=0.5, no propagation delays	1.	0.5|0.5	10000	ssz-simple	SSZ'16 attack space; simple withholding policy	local-v0.6.3-52-g1b63796-dirty	nakamoto	0.08616195	4971|5029	4404.|2828.	9965.74281355	7232.	7232	0								
