	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	ca_time	ca_height	machine_duration_s	error	version	attacker_compute	attacker_relative_activations	attacker_relative_reward	attacker_efficiency
0	two-agents-0.2	2 nodes, alpha=0.2, no propagation delays	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2037|7963	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1085.|7377.	9933.16681943	8462	0.157289369		local-v0.4-47-g351acb8	0.2	0.2037	0.12822027889387852	0.6294564501417699
1	two-agents-0.2	2 nodes, alpha=0.2, no propagation delays	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2037|7963	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	1058.|7434.	9933.16681943	8492	0.162149637		local-v0.4-47-g351acb8	0.2	0.2037	0.12458784738577484	0.6116241894245206
2	two-agents-0.2	2 nodes, alpha=0.2, no propagation delays	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2037|7963	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	1085.|7377.	9933.16681943	8462	0.162485078		local-v0.4-47-g351acb8	0.2	0.2037	0.12822027889387852	0.6294564501417699
3	two-agents-0.25	2 nodes, alpha=0.25, no propagation delays	0.25|0.75	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2565|7435	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	1639.|6503.	9933.16681943	8142	0.164087865		local-v0.4-47-g351acb8	0.25	0.2565	0.20130189142716778	0.7848026956224865
4	two-agents-0.1	2 nodes, alpha=0.1, no propagation delays	0.1|0.9	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1024|8976	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	317.|8810.	9933.16681943	9127	0.189963017		local-v0.4-47-g351acb8	0.1	0.1024	0.03473211350936781	0.33918079598991996
5	two-agents-0.1	2 nodes, alpha=0.1, no propagation delays	0.1|0.9	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1024|8976	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	1024.|8976.	9933.16681943	10000	0.198278398		local-v0.4-47-g351acb8	0.1	0.1024	0.1024	1.0
6	two-agents-0.1	2 nodes, alpha=0.1, no propagation delays	0.1|0.9	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1024|8976	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	310.|8821.	9933.16681943	9131	0.199906572		local-v0.4-47-g351acb8	0.1	0.1024	0.03395027926842624	0.331545695980725
7	two-agents-0.2	2 nodes, alpha=0.2, no propagation delays	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2037|7963	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	2037.|7963.	9933.16681943	10000	0.201751345		local-v0.4-47-g351acb8	0.2	0.2037	0.2037	1.0
8	two-agents-0.1	2 nodes, alpha=0.1, no propagation delays	0.1|0.9	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1024|8976	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	317.|8810.	9933.16681943	9127	0.203079264		local-v0.4-47-g351acb8	0.1	0.1024	0.03473211350936781	0.33918079598991996
9	two-agents-0.25	2 nodes, alpha=0.25, no propagation delays	0.25|0.75	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2565|7435	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1639.|6503.	9933.16681943	8142	0.208914297		local-v0.4-47-g351acb8	0.25	0.2565	0.20130189142716778	0.7848026956224865
